,name,artists,peak_position,weeks_on_chart,week,date,genre,features
0,Old Town Road,"Lil Nas,",1.0,7.0,7/6/19,5-Apr-19,"Country,Atlanta,Alternative Country,Hip-Hop,Trap,Memes,Remix,Country Rap,Rap",Billy Ray Cyrus
1,Senorita,"Shawn Mendes, Camila Cabello",,,7/6/19,21-Jun-19,Pop,
2,Bad Guy,Billie Eilish,2.0,13.0,7/6/19,29-Mar-19,"Hip-Hop,Dark Pop,House,Trap,Memes,Alternative Dance,Alternative,Alternative Pop,Dance-Pop,Dance,Electro-Pop,Electro,Pop",
3,Talk,Khalid,3.0,20.0,7/6/19,7-Feb-19,"Synth-Pop,Pop",
4,I Don't Care,"Ed Sheeran, Justin Bieber",2.0,7.0,7/6/19,10-May-19,"Canada,UK,Dance,Dance-Pop,Pop",
5,Sucker,Jonas Brothers,1.0,17.0,7/6/19,1-Mar-19,"Alternative Pop,Boy Band,Teen Pop,Pop-Rock,Pop",
6,Suge,DaBaby,7.0,13.0,7/6/19,1-Mar-19,"Trap,East Coast,Rap",
7,Money In The Grave,Drake,7.0,2.0,7/6/19,15-Jun-19,"Hip-Hop,Rap,Basketball,NBA,Canada",Rick Ross
8,No Guidance,Chris Brown,9.0,3.0,7/6/19,8-Jun-19,"Alternative R&;B,Hip-Hop,Rap,Pop,DMV,Canada,R&;B",Drake
9,Wow.,Post Malone,2.0,27.0,7/6/19,24-Dec-18,"Memes,Hip-Hop,Trap,Rap",
10,Truth Hurts,Lizzo,11.0,8.0,7/6/19,19-Sep-17,"Pop,Rap",
11,Sunflower,"Post Malone, Swae Lee",1.0,36.0,7/6/19,18-Oct-18,"Rap,Disney,Hip-Hop,Marvel,Soundtrack,R&;B,Pop",
12,You Need To Calm Down,Taylor Swift,2.0,2.0,7/6/19,14-Jun-19,"Synth-Pop,LGBTQ+,Pop",
13,If I Can't Have You,Shawn Mendes,2.0,8.0,7/6/19,3-May-19,"Canada,Teen Pop,Pop",
14,Dancing With A Stranger,"Sam Smith, Normani",7.0,24.0,7/6/19,11-Jan-19,"UK,Pop",
15,Panini,Lil Nas X,,,7/6/19,20-Jun-19,"Memes,Atlanta,Hip-Hop,Trap,Rap",
16,Without Me,Halsey,1.0,38.0,7/6/19,4-Oct-18,"Synth-Pop,R&;B,Alternative Pop,Ballad,Pop,Alternative",
17,God's Country,Blake Shelton,18.0,13.0,7/6/19,29-Mar-19,Country,
18,Pop Out,Polo G,11.0,14.0,7/6/19,13-Jan-19,"Trap,Rap",Lil Tjay
19,MEGATRON,Nicki Minaj,,,7/6/19,21-Jun-19,"East Coast,Hip-Hop,Rap",
20,Sweet But Psycho,Ava Max,10.0,28.0,7/6/19,17-Aug-18,"Dance-Pop,Dance,Electronic Pop,Electro,R&;B,Electronic,Electro-Pop,UK,Pop",
21,Rodeo,"Lil Nas X, Cardi B",,,7/6/19,21-Jun-19,"Country,Atlanta,East Coast,Trap,Country Rap,Hip-Hop,Rap",
22,7 Rings,Ariana Grande,1.0,23.0,7/6/19,18-Jan-19,"Memes,Trap,R&;B,Pop",
23,"Hey Look Ma, I Made It",Panic! At The Disco,24.0,11.0,7/6/19,22-Jun-18,"Pop-Rock,Jazz Fusion,Alternative,Alternative Pop,Electro-Pop,Pop",
24,Happier,"Marshmello, Bastille",2.0,45.0,7/6/19,17-Aug-18,"Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop",
25,Rumor,Lee Brice,25.0,16.0,7/6/19,3-Nov-17,Country,
26,Never Really Over,Katy Perry,15.0,4.0,7/6/19,31-May-19,"Electro-Pop,Synth-Pop,Pop",
27,Whiskey Glasses,Morgan Wallen,17.0,17.0,7/6/19,27-Apr-18,Country,
28,The Git Up,Blanco Brown,29.0,3.0,7/6/19,2-May-19,"Atlanta,Dance,Rap,Country Rap,Country",
29,The London,"Young Thug, J. Cole, Travis Scott",12.0,5.0,7/6/19,23-May-19,"Hip-Hop,East Coast,Atlanta,Rap",
30,ME!,Taylor Swift,2.0,10.0,7/6/19,26-Apr-19,"Dream-Pop,Bubblegum Pop,Dance-Pop,Pop",Brendon Urie
31,High Hopes,Panic! At The Disco,4.0,47.0,7/6/19,23-May-18,"Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop",
32,Beer Never Broke My Heart,Luke Combs,22.0,8.0,7/6/19,8-May-19,"Rock,Country",
