Name,GrammyAward
'Til Summer Comes Around,1
24 Frames,1
24k Magic,1
500 Miles High,1
99 Problems,1
Adorn,1
Again,1
Ain't No Other Man,1
Ain't it Fun,1
Alright,2
American Woman,1
Angel,1
Angry World,1
B.y.o.b.,1
Bad Romance,1
Bangarang,1
Barton Hollow,1
Be Ok,1
Be without you,2
Beautiful,1
Beautiful Day,3
Before He Cheats,2
Before i Forget,1
Believe,1
Best Part,1
Better Man,1
Bittersweet,1
Blackstar,2
Blame it,1
Bless the Broken Road,1
Blown Away,2
Body and Soul,1
Boo'd Up,1
Boulevard of Broken Dreams,1
Brand New Day,1
Breathe,1
Bring Me to Life,1
Broken Halos,1
Bubblin,1
Butterflies,1
Call My Name,1
Can't Stop the Feeling!,1
Chasing Pavements,1
Cherokee,1
Choices,1
Cirice,1
City of Blinding Lights,1
Clarity,1
Climax,1
Clocks,1
Come into My World,1
Come on over,1
Cousin Dupree,1
Crack a Bottle,1
Cranes in the Sky,1
Crawling,1
Crazy,1
Crazy in Love,1
Cross My Mind,1
Cry,1
Cry Me a River,1
Cut Me some Slack,1
D.o.a. (Death of Auto-Tune),1
Dance with My Father,2
Dancin' 4 Chicken,1
Dangerously in Love 2,1
Dani California,2
Daughters,2
Daydreamin',1
Days Go by,1
Diamonds from Sierra Leone,1
Dig in,1
Disorder in the House,1
Disrespectful,1
Dissident Aggressor,1
Don't Fence Me in,1
Don't Know Why,3
Don't Let Me Down,1
Don't Let Me be Lonely Tonight,1
Don't Phunk with My Heart,1
Don't Wanna Fight,2
Drops of Jupiter,1
Drunk in Love,2
Dystopia,1
Earned it (Fifty Shades of Grey),1
Either Way,1
El Dorado,1
Electric Messiah,1
Electricity,1
Elevation,1
Elite,1
Empire State of Mind,1
Eyes of the Insane,1
Fallin',3
Family Affair,1
Feel Good Inc.,1
Feel it Still,1
Final Six,1
Fingerprints,1
Fool for you,2
For Once in My Life,1
Forgot About Dre,1
From the Bottom of My Heart,1
From this Valley,1
Fuck you,1
Future Baby Mama,1
Galvanize,1
Gentle on My Mind,1
Get Lucky,2
Get Right with God,1
Get Ur Freak on,1
Girl Crush,2
Girls in their Summer Clothes,1
Give My Love to Rose,1
Glory,1
God Provides,1
God is Dead?,1
God's Plan,1
Gold Digger,1
Gone Gone Gone (Done Moved on),1
Good Life,1
Gravedigger,1
Guerrilla Radio,1
Halo,1
Happy (Live),1
Harder Better Faster Stronger,1
He Think i Don't Know,1
He Wasn't Man Enough,1
Heaven,2
Hello,3
Here We Go Again,2
Here to Stay,1
Hey Baby,1
Hey Ya!,1
"Hey, Soul Sister (Live)",1
Holy Spirit,1
Hot House,1
Hot in Herre,1
Hotline Bling,2
House of Mercy,1
How Deep is your Love,1
How Far I'll Go,1
Humble and Kind,1
Humble.,2
I'm Like a Bird,1
I'm not Gonna Miss you,1
If We Were Vampires,1
If i Ain't Got you,1
Imagine,1
In My Place,1
Iron Man,1
Is this Love,1
"Is you Is, or is you Ain't (My Baby)",1
It's Five O'clock Somewhere,1
It's not Right but It's Okay,1
I’m so Lonesome i Could Cry,1
Jesus Children,1
Jesus Walks,1
"Jesus, Take the Wheel",2
Joanne (where Do you Think You're Goin'?),1
Jolene,1
Just the Way you are,1
Keep on the Sunny Side,1
Kid Sister,1
Killer Diller Blues,1
Lady Marmalade,1
Lake by the Ocean,1
Last Name,1
Lazaretto,1
Let it Go,1
Let's Get it Started,1
Letter to Me,1
Little Ghetto Boy,1
Little Things,1
Live Like you Were Dying,2
Lollipop,1
Lonely Boy,2
Lose Yourself,2
Love Has Come for you,1
Love of My Life (an Ode to Hip Hop),1
Love on Top,1
Lovestoned/i Think She Knows,1
Loyalty.,1
Lucky,1
Make it Mine,1
Makes Me Wonder,1
Man! i Feel Like a Woman!,1
Maria Maria,1
